page_id,name,urlslug,id,align,eye,hair,sex,gsm,alive,appearances,first_appearance,year,days_since_first_appearance
500801,Lars_Krool_Earth616,Lars_Krool_Earth616,Public Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-09-01,1944,27102
493193,Man_in_the_Steel_Mask_Earth616,Man_in_the_Steel_Mask_Earth616,Secret Identity,Bad Characters,,Bald,Male Characters,,False,1,1944-02-01,1944,27315
503020,Marmaduke_Jones_Earth616,Marmaduke_Jones_Earth616,Public Identity,Good Characters,,Red Hair,Male Characters,,False,1,1944-09-01,1944,27102
503003,Master_of_Death_Earth616,Master_of_Death_Earth616,Secret Identity,Bad Characters,,,Male Characters,,False,1,1944-10-01,1944,27072
497663,Mathers_Earth616,Mathers_Earth616,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-05-01,1944,27225
493373,Max_Bovar_Earth616,Max_Bovar_Earth616,Public Identity,Bad Characters,,Bald,Male Characters,,False,1,1944-03-01,1944,27286
501027,Maxie_Murdock_Earth616,Maxie_Murdock_Earth616,Secret Identity,Bad Characters,,Bald,Male Characters,,False,1,1944-09-01,1944,27102
500665,Mistress_of_Death_Earth616,Mistress_of_Death_Earth616,Secret Identity,Bad Characters,,Red Hair,Female Characters,,False,1,1944-08-01,1944,27133
492727,Mole_Nazi_Earth616,Mole_Nazi_Earth616,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-01-01,1944,27346
504723,Monstro_WWII_Earth616,Monstro_WWII_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-12-01,1944,27011
505269,Mother_Ting_Earth616,Mother_Ting_Earth616,Secret Identity,Good Characters,,White Hair,Female Characters,,False,1,1944-12-01,1944,27011
503015,Nails_Bradley_Earth616,Nails_Bradley_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-09-01,1944,27102
494195,Nan_Carter_Earth616,Nan_Carter_Earth616,Public Identity,Good Characters,,Blond Hair,Female Characters,,False,1,1944-03-01,1944,27286
502038,Ogar_of_the_Ocean_Earth616,Ogar_of_the_Ocean_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1944-09-01,1944,27102
504838,Ogre_Gang_Leader_Earth616,Ogre_Gang_Leader_Earth616,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-12-01,1944,27011
495016,Otto_Briefer_Earth616,Otto_Briefer_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-03-01,1944,27286
504647,Past_Earth616,Past_Earth616,Secret Identity,Bad Characters,,Grey Hair,Male Characters,,False,1,1944-12-01,1944,27011
394133,Paul_Atwell_Earth616,Paul_Atwell_Earth616,,,,White Hair,Male Characters,,False,1,1944-03-01,1944,27286
499587,Peddler_of_Doom_Earth616,Peddler_of_Doom_Earth616,Secret Identity,Bad Characters,,White Hair,Male Characters,,False,1,1944-06-01,1944,27194
500284,Pedro_Alvarez_Earth616,Pedro_Alvarez_Earth616,Public Identity,Bad Characters,,Brown Hair,Male Characters,,False,1,1944-07-01,1944,27164
497646,Peter_Herrick_Earth616,Peter_Herrick_Earth616,Secret Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-05-01,1944,27225
493195,Peter_Stromboli_Earth616,Peter_Stromboli_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-02-01,1944,27315
495014,Phao_Earth616,Phao_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-03-01,1944,27286
493648,Pop_Kunz_Earth616,Pop_Kunz_Earth616,Public Identity,Bad Characters,,Grey Hair,Male Characters,,False,1,1944-04-01,1944,27255
493567,Prince_Suli_Earth616,Prince_Suli_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-03-01,1944,27286
492721,Princess_Ramasi_Earth616,Princess_Ramasi_Earth616,Secret Identity,Bad Characters,,Black Hair,Female Characters,,False,1,1944-01-01,1944,27346
731565,Professor_Svengalie_Earth616,Professor_Svengalie_Earth616,No Dual Identity,Bad Characters,,Bald,Male Characters,,False,1,1944-10-01,1944,27072
499573,Professor_Tarbu_Earth616,Professor_Tarbu_Earth616,Public Identity,Bad Characters,,Black Hair,Male Characters,,False,1,1944-06-01,1944,27194
18634,Raymond_Wil_Earth616,Raymond_Wil_Earth616,Public Identity,Neutral Characters,,,Male Characters,,False,1,1944-09-01,1944,27102
503005,Rene_Claire_Earth616,Rene_Claire_Earth616,No Dual Identity,Bad Characters,,Blond Hair,Male Characters,,False,1,1944-10-01,1944,27072
708891,Ruth_LaRue_Earth616,Ruth_LaRue_Earth616,Public Identity,Neutral Characters,,Blond Hair,Female Characters,,False,1,1944-09-01,1944,27102
504334,Samson_Barrick_Earth616,Samson_Barrick_Earth616,Secret Identity,Bad Characters,,,Male Characters,,False,1,1944-12-01,1944,27011
