title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress,years_since_released
Lords of Dogtown,http://www.imdb.com/title/tt0355702/,US,2005,11.0,Catherine Hardwicke,3,Jay Adams,Athlete,False,,False,Male,Emile Hirsch,13
Lords of Dogtown,http://www.imdb.com/title/tt0355702/,US,2005,11.0,Catherine Hardwicke,3,Tony Alva,Athlete,True,Hispanic (Latino),True,Male,Victor Rasuk,13
Lords of Dogtown,http://www.imdb.com/title/tt0355702/,US,2005,11.0,Catherine Hardwicke,3,Stacy Peralta,Athlete,False,,False,Male,John Robinson,13
Louis Cyr,http://www.imdb.com/title/tt1657513/,Canada,2013,0,Daniel Roby,1,Louis Cyr,Athlete,True,White,False,Male,Antoine Bertrand,5
Love & Mercy,http://www.imdb.com/title/tt0903657/,US,2014,9.26,Bill Pohlad,1,Brian Wilson,Musician,True,White,False,Male,John Cusack,4
Love Is a Many-Splendored Thing,http://www.imdb.com/title/tt0048316/,US,1955,0,Henry King,1,Han Suyin,Other,True,Eurasian,True,Female,Jennifer Jones,63
Love Is the Devil: Study for a Portrait of Francis Bacon,http://www.imdb.com/title/tt0119577/,US/UK,1998,0.343,John Maybury,1,Francis Bacon,Artist,True,White,False,Male,Derek Jacobi,20
Love Me or Leave Me,http://www.imdb.com/title/tt0048317/,US,1955,0,Charles Vidor,1,Ruth Etting,Singer,False,,False,Female,Doris Day,63
Lovelace,http://www.imdb.com/title/tt1426329/,US,2013,0.355,"Rob Epstein, Jeffrey Friedman",1,Linda Lovelace,Actress,True,White,False,Female,Amanda Seyfried,5
Low Down,http://www.imdb.com/title/tt1864405/,US,2014,0.0445,Jeff Preiss,1,Joe Albany,Musician,True,White,False,Male,John Hawkes,4
Lucky Luciano,http://www.imdb.com/title/tt0071782/,US,1973,0,Francesco Rosi,1,Charles Luciano,Criminal,True,White,False,Male,Gian Maria VolontÌ©,45
Lust for Life,http://www.imdb.com/title/tt0049456/,US,1956,0,Vincente Minnelli,1,Vincent van Gogh,Artist,True,White,False,Male,Kirk Douglas,62
Luther,http://www.imdb.com/title/tt0309820/,US,2003,5.67,Eric Till,1,Martin Luther,Historical,True,White,False,Male,Joseph Fiennes,15
MacArthur,http://www.imdb.com/title/tt0076342/,US,1977,0,Joseph Sargent,1,Douglas MacArthur,Military,True,White,False,Male,Gregory Peck,41
Machine Gun Preacher,http://www.imdb.com/title/tt1586752/,US,2011,0.538,Marc Forster,1,Sam Childers,Other,True,White,False,Male,Gerard Butler,7
Machine-Gun Kelly,http://www.imdb.com/title/tt0051887/,US,1958,0,Roger Corman,1,George Kelly,Criminal,False,,False,Male,Charles Bronson,60
Madame Curie,http://www.imdb.com/title/tt0036126/,US,1943,0,Mervyn LeRoy,2,Pierre Curie,Academic,True,White,False,Male,Walter Pidgeon,75
Madame Curie,http://www.imdb.com/title/tt0036126/,US,1943,0,Mervyn LeRoy,2,Marie Curie,Academic,True,White,False,Female,Greer Garson,75
Mahler,http://www.imdb.com/title/tt0071797/,UK,1974,0,Ken Russell,2,Gustav Mahler,Musician,True,White,False,Male,Robert Powell,44
Mahler,http://www.imdb.com/title/tt0071797/,UK,1974,0,Ken Russell,2,Alma Mahler,Other,False,,False,Female,Georgina Hale,44
Malcolm X,http://www.imdb.com/title/tt0104797/,US,1992,48.2,Spike Lee,1,Malcolm X,Activist,True,African American,True,Male,Denzel Washington,26
Man of a Thousand Faces,http://www.imdb.com/title/tt0050681/,US,1957,0,Joseph Pevney,1,Lon Chaney,Actor,True,White,False,Male,James Cagney,61
Man on the Moon,http://www.imdb.com/title/tt0125664/,US/UK,1999,34.6,Milos Forman,1,Andy Kaufman,Comedian,False,,False,Male,Jim Carrey,19
Mandela: Long Walk to Freedom,http://www.imdb.com/title/tt2304771/,UK,2013,8.32,Justin Chadwick,1,Nelson Mandela,World leader,True,African,True,Male,Idris Elba,5
Marie Antoinette,http://www.imdb.com/title/tt0030418/,US,1938,0,W.S. Van Dyke,1,Marie Antoinette,Historical,True,White,False,Female,Norma Shearer,80
Marie Antoinette,http://www.imdb.com/title/tt0422720/,US,2006,16.0,Sofia Coppola,1,Marie Antoinette,Historical,True,White,False,Female,Kirsten Dunst,12
Mary of Scotland,http://www.imdb.com/title/tt0027948/,US,1936,0,John Ford,1,"Mary Stuart, Queen of Scots",Historical,True,White,False,Female,Katharine Hepburn,82
"Mary, Queen of Scots",http://www.imdb.com/title/tt0067402/,UK,1971,0,Charles Jarrott,1,"Mary Stuart, Queen of Scots",Historical,True,White,False,Female,Vanessa Redgrave,47
Mask,http://www.imdb.com/title/tt0089560/,US,1985,42.4,Peter Bogdanovich,1,"Roy Lee ""Rocky"" Dennis",Other,True,White,False,Male,Eric Stolz,33
Meetings with Remarkable Men,http://www.imdb.com/title/tt0079542/,UK,1979,0,Peter Brook,1,G.I. Gurdjieff,Other,True,White,False,Male,Dragan Maksimovic,39
Men of Honor,http://www.imdb.com/title/tt0203019/,US,2000,48.8,George Tillman Jr.,1,Carl Brashear,Athlete,True,African American,True,Male,Cuba Gooding Jr,18
Mesmer,http://www.imdb.com/title/tt0110496/,Canada/UK,1994,0,Roger Spottiswoode,1,Franz Anton Mesmer,Medicine,True,White,False,Male,Alan Rickman,24
Mesrine Part 1: Killer Instinct,http://www.imdb.com/title/tt1259014/,Canada,2008,0.552,Jean-FranÌ¤ois Richet,1,Jacques Mesrine,Criminal,True,White,False,Male,Vincent Cassel,10
Mesrine Part 2: Public Enemy #1,http://www.imdb.com/title/tt0411272/,Canada,2008,0.275,Jean-FranÌ¤ois Richet,1,Jacques Mesrine,Criminal,True,White,False,Male,Vincent Cassel,10
Michael Collins,http://www.imdb.com/title/tt0117039/,US/UK,1996,11.0,Neil Jordan,1,Michael Collins,Activist,True,White,False,Male,Liam Neeson,22
Midnight Express,http://www.imdb.com/title/tt0077928/,US/UK,1978,35.0,Alan Parker,1,Billy Hayes,Criminal,False,,False,Male,Brad Davis,40
Milk,http://www.imdb.com/title/tt1013753/,US,2008,31.8,Gus Van Sant,1,Harvey Milk,Activist,True,White,False,Male,Sean Penn,10
Million Dollar Arm,http://www.imdb.com/title/tt1647668/,US,2014,36.4,Craig Gillespie,1,J. B. Bernstein,Athlete,True,White,False,Male,Jon Hamm,4
Million Dollar Mermaid,http://www.imdb.com/title/tt0044903/,US,1952,0,Mervyn LeRoy,1,Annette Kellerman,Athlete,True,White,False,Female,Esther Williams,66
Miracle,http://www.imdb.com/title/tt0349825/,US,2004,64.4,Gavin O'Connor,1,Herb Brooks,Athlete,False,,False,Male,Kurt Russell,14
Mishima: A Life in Four Chapters,http://www.imdb.com/title/tt0089603/,US,1985,0.45,Paul Schrader,1,Yukio Mishima,Author,True,Asian,True,Male,Ken Ogata,33
Miss Potter,http://www.imdb.com/title/tt0482546/,US/UK,2006,2.98,Chris Noonan,1,Beatrix Potter,Author,True,White,False,Female,RenÌ©e Zellweger,12
Mockingbird Don't Sing,http://www.imdb.com/title/tt0273822/,US,2001,0,Harry Bromley Davenport,1,Genie (pseudonym),Other,False,,False,Female,Tarra Steele,17
Modigliani,http://www.imdb.com/title/tt0367188/,UK,2004,0.195,Mick Davis,1,Amedeo Modigliani,Artist,True,White,False,Male,Andy Garcia,14
Mommie Dearest,http://www.imdb.com/title/tt0082766/,US,1981,0,Frank Perry,1,Joan Crawford,Actress,True,White,False,Female,Faye Dunaway,37
Moneyball,http://www.imdb.com/title/tt1210166/,US,2011,75.6,Bennett Miller,1,Billy Beane,Athlete,True,White,False,Male,Brad Pitt,7
Monsieur N.,http://www.imdb.com/title/tt0308595/,UK,2003,0.016800000000000002,Antoine de Caunes,1,Napoleon Bonaparte,Historical,True,White,False,Male,Philippe Torreton,15
Monster,http://www.imdb.com/title/tt0340855/,US,2003,34.5,Patty Jenkins,1,Aileen Wuornos,Criminal,False,,False,Female,Charlize Theron,15
Moulin Rouge,http://www.imdb.com/title/tt0044926/,UK,1952,0,John Huston,1,Henri de Toulouse-Lautrec,Artist,False,,False,Male,JosÌ© Ferrer,66
Mr. Nice,http://www.imdb.com/title/tt1183911/,UK,2010,0,Bernard Rose,1,Howard Marks,Criminal,False,,False,Male,Rhys Ifans,8
Mr. Turner,http://www.imdb.com/title/tt2473794/,UK,2014,3.96,Mike Leigh,1,J.M.W. Turner,Artist,True,White,False,Male,Timothy Spall,4
Mrs Brown,http://www.imdb.com/title/tt0119280/,US/UK,1997,9.22,John Madden,1,Victoria,Historical,True,White,False,Female,Judi Dench,21
Mrs. Parker and the Vicious Circle,http://www.imdb.com/title/tt0110588/,US/Canada,1994,2.14,Alan Rudolph,1,Dorothy Parker,Author,True,White,False,Female,Jennifer Jason Leigh,24
Muhammad: The Last Prophet,http://www.imdb.com/title/tt0430377/,US,2002,0,Richard Rich,1,Muhammad,Historical,True,Middle Eastern,True,Male,,16
"Murder, Inc.",http://www.imdb.com/title/tt0054102/,US,1960,0,"Burt Balaban, Stuart Rosenberg",1,Burton Turkus,Other,False,,False,Male,Henry Morgan,58
Music Within,http://www.imdb.com/title/tt0422783/,US,2007,0.153,Steven Sawalich,1,Richard Pimentel,Activist,True,Multi racial,True,Male,Ron Livingston,11
My Childhood,http://www.imdb.com/title/tt0068983/,UK,1972,0,Bill Douglas,1,Bill Douglas,Other,False,,False,Male,Stephen Archibald,46
My Dinner with Andre,http://www.imdb.com/title/tt0082783/,US,1981,0.00507,Louis Malle,2,Andre Gregory,Actor,True,White,False,Male,Andre Gregory,37
My Dinner with Andre,http://www.imdb.com/title/tt0082783/,US,1981,0.00507,Louis Malle,2,Wallace Shawn,Actor,True,White,False,Male,Wallace Shawn,37
My Left Foot,http://www.imdb.com/title/tt0097937/,UK,1989,14.7,Jim Sheridan,1,Christy Brown,Artist,True,White,False,Male,Daniel Day-Lewis,29
My Life So Far,http://www.imdb.com/title/tt0120899/,US/UK,1999,0.616,Hugh Hudson,1,Denis Forman,Other,True,White,False,Male,Robert Norman,19
My One and Only,http://www.imdb.com/title/tt1185431/,US,2009,2.48,Richard Loncraine,1,George Hamilton,Other,True,White,False,Male,Logan Lerman,9
My Week with Marilyn,http://www.imdb.com/title/tt1655420/,US/UK,2011,14.6,Simon Curtis,1,Marilyn Monroe,Actress,False,,False,Female,Michelle Williams,7
Ned Kelly,http://www.imdb.com/title/tt0277941/,US/UK,2003,0.07490000000000001,Gregor Jordan,1,Ned Kelly,Criminal,True,White,False,Male,Heath Ledger,15
Nicholas and Alexandra,http://www.imdb.com/title/tt0067483/,UK,1971,0,Franklin J. Schaffner,2,Tsarina Alexandra (Feodorovna),Historical,True,White,False,Female,Janet Suzman,47
Nicholas and Alexandra,http://www.imdb.com/title/tt0067483/,UK,1971,0,Franklin J. Schaffner,2,Tsar Nicholas II,Historical,True,White,False,Male,Michael Jayston,47
Night and Day,http://www.imdb.com/title/tt0038776/,US,1946,0,Michael Curtiz,1,Cole Porter,Musician,False,,False,Male,Cary Grant,72
Nightwatching,http://www.imdb.com/title/tt0446750/,Canada/UK,2007,0,Peter Greenaway,1,Rembrandt,Artist,True,White,False,Male,Martin Freeman,11
Nixon,http://www.imdb.com/title/tt0113987/,US,1995,13.6,Oliver Stone,1,Richard Milhous Nixon,World leader,True,White,False,Male,Anthony Hopkins,23
Nora,http://www.imdb.com/title/tt0158033/,UK,2000,0.0123,Pat Murphy,2,James Joyce,Author,True,White,False,Male,Ewan McGregor,18
Nora,http://www.imdb.com/title/tt0158033/,UK,2000,0.0123,Pat Murphy,2,Nora Barnacle,Other,False,,False,Female,Susan Lynch,18
Nostradamus,http://www.imdb.com/title/tt0110689/,UK,1994,0.364,Roger Christian,1,Nostradamus,Historical,False,,False,Male,TchÌ©ky Karyo,24
Notorious,http://www.imdb.com/title/tt0472198/,US,2009,36.8,George Tillman Jr.,1,Christopher Wallace (Biggie Smalls),Musician,True,Caribbean,True,Male,Jamal Woolard,9
Nowhere Boy,http://www.imdb.com/title/tt1266029/,Canada/UK,2009,1.45,Sam Taylor-Johnson,1,John Lennon,Musician,True,White,False,Male,Aaron Taylor-Johnson,9
October Sky,http://www.imdb.com/title/tt0132477/,US,1999,32.5,Joe Johnston,1,Homer Hickam,Other,True,Multi racial,True,Male,Jake Gyllenhaal,19
One Chance,http://www.imdb.com/title/tt1196956/,US/UK,2013,0.0897,David Frankel,1,Paul Potts,Musician,False,,False,Male,James Corden,5
One Foot in Heaven,http://www.imdb.com/title/tt0033980/,US,1941,0,Irving Rapper,1,William Spence,Other,True,White,False,Male,Fredric March,77
One Night with the King,http://www.imdb.com/title/tt0430431/,US,2006,13.4,Michael O. Sajbel,1,Hadassah (Esther),Historical,True,Middle Eastern (White),False,Female,Tiffany Dupont,12
Open Water,http://www.imdb.com/title/tt0374102/,US,2003,30.5,Chris Kentis,2,Eileen Lonergan,Other,False,,False,Female,Blanchard Ryan,15
Open Water,http://www.imdb.com/title/tt0374102/,US,2003,30.5,Chris Kentis,2,Tom Lonergan,Other,False,,False,Male,Daniel Travis,15
Out of Africa,http://www.imdb.com/title/tt0089755/,US,1985,87.1,Sydney Pollack,1,Karen Blixen,Other,True,White,False,Female,Meryl Streep,33
Pandaemonium,http://www.imdb.com/title/tt0210217/,UK,2000,0,Julien Temple,2,William Wordsworth,Author (poet),False,,False,Male,John Hannah,18
Pandaemonium,http://www.imdb.com/title/tt0210217/,UK,2001,0,Julien Temple,2,Samuel Taylor Coleridge,Author (poet),False,,False,Male,Linus Roache,17
Papillon,http://www.imdb.com/title/tt0070511/,US,1973,53.3,Franklin J. Schaffner,1,"Henri ""Papillon"" CharriÌ¬re",Criminal,True,White,False,Male,Steve McQueen,45
Party Monster,http://www.imdb.com/title/tt0320244/,US,2003,0.297,"Fenton Bailey, Randy Barbato",1,Michael Alig,Criminal,False,,False,Male,Macaulay Culkin,15
Patch Adams,http://www.imdb.com/title/tt0129290/,US,1998,135.0,Tom Shadyac,1,"Hunter Doherty ""Patch"" Adams",Medicine,False,,False,Male,Robin Williams,20
Patton,http://www.imdb.com/title/tt0066206/,US,1970,0,Franklin J. Schaffner,1,George Patton,Military,True,White,False,Male,George Scott,48
Patty Hearst,http://www.imdb.com/title/tt0095836/,US/UK,1988,1.22,Paul Schrader,1,Patty Hearst,Other,True,White,False,Female,Natasha Richardson,30
Permanent Midnight,http://www.imdb.com/title/tt0120788/,US,1998,1.17,David Veloz,1,Jerry Stahl,Comedian,True,White,False,Male,Ben Stiller,20
Persepolis,http://www.imdb.com/title/tt0808417/,US,2007,4.44,"Vincent Paronnaud, Marjane Satrapi",1,Marjane 'Marji' Satrapi,Activist,True,Middle Eastern,True,Female,Chiara Mastroianni,11
Phantom Punch,http://www.imdb.com/title/tt1131747/,US,2008,0,Robert Townsend,1,Sonny Liston,Athlete,True,African American,True,Male,Ving Rhames,10
Philomena,http://www.imdb.com/title/tt2431286/,US/UK,2013,37.7,Stephen Frears,1,Philomena Lee,Other,True,White,False,Female,Judi Dench,5
Pierrepoint: The Last Hangman,http://www.imdb.com/title/tt0462477/,US/UK,2005,0.0218,Adrian Shergold,1,Albert Pierrepoint,Other,True,White,False,Male,Timothy Spall,13
PiÌ±ero,http://www.imdb.com/title/tt0261066/,US,2001,1.42,Leon Ichaso,1,Miguel PiÌ±ero,Actor,True,Hispanic (Latin American),True,Male,Benjamin Bratt,17
Pollock,http://www.imdb.com/title/tt0183659/,US,2000,8.6,Ed Harris,1,Jackson Pollock,Artist,True,White,False,Male,Ed Harris,18
Prefontaine,http://www.imdb.com/title/tt0119937/,US,1997,0.532,Steve James,1,Steve Prefontaine,Athlete,True,White,False,Male,Jared Leto,21
Prick Up Your Ears,http://www.imdb.com/title/tt0093776/,UK,1987,1.65,Stephen Frears,2,Joe Orton,Author,False,,False,Male,Gary Oldman,31
Prick Up Your Ears,http://www.imdb.com/title/tt0093776/,UK,1987,1.65,Stephen Frears,2,Kenneth Halliwell,Other,False,,False,Male,Alfred Molina,31
Pride of the Marines,http://www.imdb.com/title/tt0038000/,US,1945,0,Delmer Daves,1,Al Schmid,Military,True,White,False,Male,John Garfield,73
Private Parts,http://www.imdb.com/title/tt0119951/,US,1997,41.2,Betty Thomas,1,Howard Stern,Media,True,White,False,Male,Howard Stern,21
PT 109,http://www.imdb.com/title/tt0057393/,US,1963,0,Leslie H. Martinson,1,John F. Kennedy,Military,True,White,False,Male,Cliff Robertson,55
Public Enemies,http://www.imdb.com/title/tt1152836/,US,2009,97.0,Michael Mann,1,John Dillinger,Criminal,False,,False,Male,Johnny Depp,9
Queen Christina,http://www.imdb.com/title/tt0024481/,US,1933,0,Rouben Mamoulian,1,"Christina, queen of Sweden",Historical,True,White,False,Female,Greta Garbo,85
Quills,http://www.imdb.com/title/tt0180073/,US/UK,2000,7.06,Philip Kaufman,1,Marquis de Sade,Criminal,True,White,False,Male,Geoffrey Rush,18
Quo Vadis,http://www.imdb.com/title/tt0043949/,US,1951,0,Mervyn LeRoy,2,Lygia,Historical,True,White,False,Female,Deborah Kerr,67
Quo Vadis,http://www.imdb.com/title/tt0043949/,US,1951,0,Mervyn LeRoy,2,Marcus Vinicius,Historical,True,White,False,Male,Robert Taylor,67
Radio,http://www.imdb.com/title/tt0316465/,US,2003,52.3,Michael Tollin,2,"James Robert ""Radio"" Kennedy",Athlete,True,African American,True,Male,Cuba Gooding Jr,15
Radio,http://www.imdb.com/title/tt0316465/,US,2003,52.3,Michael Tollin,2,Harold Jones,Athlete,False,,False,Male,Ed Harris,15
Ragamuffin,http://www.imdb.com/title/tt2412568/,US,2014,0,David Schultz,1,Rich Mullins,Singer,True,White,False,Male,David Schultz,4
Raging Bull,http://www.imdb.com/title/tt0081398/,US,1980,0.045200000000000004,Martin Scorsese,1,Jake LaMotta,Athlete,True,White,False,Male,Robert De Niro,38
Rasputin: The Mad Monk,http://www.imdb.com/title/tt0059635/,UK,1966,0,Don Sharp,1,Grigori Rasputin,Other,True,White,False,Male,Christopher Lee,52
Ray,http://www.imdb.com/title/tt0350258/,US,2004,75.3,Taylor Hackford,1,Ray Charles,Musician,True,African American,True,Male,Jamie Foxx,14
Reach for the Sky,http://www.imdb.com/title/tt0049665/,UK,1956,0,Lewis Gilbert,1,Douglas Bader,Military,False,,False,Male,Kenneth More,62
Reds,http://www.imdb.com/title/tt0082979/,US,1981,0,Warren Beatty,1,John Reed,Media,True,White,False,Male,Warren Beaty,37
Regeneration,http://www.imdb.com/title/tt0005960/,US,1915,0,Raoul Walsh,1,Owen Kildare,Other,True,White,False,Male,Rockliffe Fellowes,103
Rembrandt,http://www.imdb.com/title/tt0028167/,UK,1936,0,Alexander Korda,1,Rembrandt,Artist,True,White,False,Male,Charles Laughton,82
Remember the Titans,http://www.imdb.com/title/tt0210945/,US,2000,116.0,Boaz Yakin,1,Herman Boone,Athlete,True,African American,True,Male,Denzel Washington,18
Rescue Dawn,http://www.imdb.com/title/tt0462504/,US,2006,5.48,Werner Herzog,1,Dieter Dengler,Military,True,White,False,Male,Christian Bale,12
Restoration,http://www.imdb.com/title/tt0114272/,US/UK,1995,4.1,Michael Hoffman,1,Charles II,Historical,True,White,False,Male,Sam Neill,23
Reversal of Fortune,http://www.imdb.com/title/tt0100486/,US/UK,1990,15.4,Barbet Schroeder,2,Claus von BÌ_low,Other,True,White,False,Male,Jeremy Irons,28
Reversal of Fortune,http://www.imdb.com/title/tt0100486/,US/UK,1990,15.4,Barbet Schroeder,2,Sunny von BÌ_low,Other,True,White,False,Female,Glenn Close,28
Rhapsody in Blue,http://www.imdb.com/title/tt0038026/,US,1945,0,Irving Rapper,1,George Gershwin,Musician,True,White,False,Male,Robert Alda,73
Richard III,http://www.imdb.com/title/tt0049674/,UK,1955,0,Laurence Olivier,1,Richard III of England,Historical,True,White,False,Male,Laurence Olivier,63
Ricky 6,http://www.imdb.com/title/tt0156020/,US,2000,0,Peter Filardi,1,"Richard ""Ricky"" Kasso",Criminal,False,,False,Male,Vincent Kartheiser,18
Riding in Cars with Boys,http://www.imdb.com/title/tt0200027/,US,2001,29.8,Penny Marshall,1,Beverly Donofrio,Other,False,,False,Female,Drew Barrymore,17
Rise of the Footsoldier,http://www.imdb.com/title/tt0901507/,UK,2007,0,Julian Gilbey,1,Carlton Leach,Criminal,False,,False,Male,Ricci Harnett,11
Rob Roy,http://www.imdb.com/title/tt0114287/,US/UK,1995,31.6,Michael Caton-Jones,1,Robert Roy MacGregor,Other,True,White,False,Male,Liam Neeson,23
Romero,http://www.imdb.com/title/tt0098219/,US,1989,1.32,John Duigan,1,Oscar Romero,Other,True,Hispanic (Latin American),False,Male,Raul Julia,29
Rosewater,http://www.imdb.com/title/tt2752688/,US,2014,3.09,Jon Stewart,1,Maziar Bahari,Media,True,Middle Eastern,True,Male,Gael GarcÌ_a Bernal,4
Rudy,http://www.imdb.com/title/tt0108002/,US,1993,22.8,David Anspaugh,1,Rudy Ruettiger,Athlete,False,,False,Male,Sean Astin,25
Rush,http://www.imdb.com/title/tt1979320/,US/UK,2013,26.9,Ron Howard,2,James Hunt,Athlete,True,White,False,Male,Chris Hemsworth,5
Rush,http://www.imdb.com/title/tt1979320/,US/UK,2013,26.9,Ron Howard,2,Niki Lauda,Athlete,True,White,False,Male,Daniel BrÌ_hl,5
Saint Joan,http://www.imdb.com/title/tt0050928/,US,1957,0,Otto Preminger,1,Joan of Arc,Historical,True,White,False,Female,Jean Seberg,61
Salome's Last Dance,http://www.imdb.com/title/tt0096029/,US/UK,1988,0.331,Ken Russell,1,Oscar Wilde,Author,True,White,False,Male,Nickolas Grace,30
Santa Fe Trail,http://www.imdb.com/title/tt0033021/,US,1940,0,Michael Curtiz,1,John Brown,Other,True,White,False,Male,Raymond Massey,78
Savage Messiah,http://www.imdb.com/title/tt0069225/,UK,1972,0,Ken Russell,1,Henri Gaudier-Brzeska,Artist,False,,False,Male,Scott Antony,46
Saving Mr. Banks,http://www.imdb.com/title/tt2140373/,US/UK,2013,83.3,John Lee Hancock,2,Walt Disney,Other,True,White,False,Male,Tom Hanks,5
Saving Mr. Banks,http://www.imdb.com/title/tt2140373/,US/UK,2013,83.3,John Lee Hancock,2,P.L. Travers,Author,True,White,False,Female,Emma Thompson,5
Schindler's List,http://www.imdb.com/title/tt0108052/,US,1993,96.1,Steven Spielberg,1,Oskar Schindler,Other,True,White,False,Male,Liam Neeson,25
Scott of the Antarctic,http://www.imdb.com/title/tt0040761/,UK,1948,0,Charles Frend,1,Robert Falcon Scott,Other,True,White,False,Male,John Mills,70
Searching for Bobby Fischer,http://www.imdb.com/title/tt0108065/,US,1993,7.27,Steven Zaillian,1,Josh Waitzkin,Other,False,,False,Male,Max Pomeranc,25
Selena,http://www.imdb.com/title/tt0120094/,US,1997,35.4,Gregory Nava,1,Selena Quintanilla-Perez,Singer,True,Hispanic (Latina),True,Female,Jennifer Lopez,21
Self Medicated,http://www.imdb.com/title/tt0341569/,US,2005,0.0988,Monty Lapica,1,Monty Lapica,Other,False,,False,Male,Monty Lapica,13
Selma,http://www.imdb.com/title/tt1020072/,US/UK,2014,52.1,Ava DuVernay,1,"Martin Luther King, Jr",Activist,True,African American,True,Male,David Oyelowo,4
Sergeant York,http://www.imdb.com/title/tt0034167/,US,1941,16.4,Howard Hawks,1,Alvin C. York,Military,True,White,False,Male,Gary Cooper,77
Serpico,http://www.imdb.com/title/tt0070666/,US,1973,0,Sidney Lumet,1,Frank Serpico,Other,True,White,False,Male,Al Pacino,45
Set Fire to the Stars,http://www.imdb.com/title/tt3455740/,UK,2014,0.00327,Andy Goddard,1,Dylan Thomas,Author (poet),True,White,False,Male,Celyn Jones,4
Seven Years in Tibet,http://www.imdb.com/title/tt0120102/,US/UK,1997,37.9,Jean-Jacques Annaud,1,Heinrich Harrer,Other,True,White,False,Male,Brad Pitt,21
Sex & Drugs & Rock & Roll,http://www.imdb.com/title/tt1393020/,UK,2010,0,Mat Whitecross,1,Ian Dury,Musician,False,,False,Male,Andy Serkis,8
Shadowlands,http://www.imdb.com/title/tt0108101/,UK,1993,25.8,Richard Attenborough,2,C.S. Lewis,Author,True,White,False,Male,Anthony Hopkins,25
Shadowlands,http://www.imdb.com/title/tt0108101/,UK,1993,25.8,Richard Attenborough,2,Joy Gresham,Author (poet),True,White,False,Female,Debra Winger,25
Sid and Nancy,http://www.imdb.com/title/tt0091954/,UK,1986,2.83,Alex Cox,2,Sid Vicious,Singer,False,,False,Male,Gary Oldman,32
Sid and Nancy,http://www.imdb.com/title/tt0091954/,UK,1986,2.83,Alex Cox,2,Nancy Spungen,Other,False,,False,Female,Chloe Webb,32
Silkwood,http://www.imdb.com/title/tt0086312/,US,1983,35.6,Mike Nichols,1,Karen Silkwood,Activist,False,,False,Female,Meryl Streep,35
Sister Kenny,http://www.imdb.com/title/tt0038948/,US,1946,0,Dudley Nichols,1,Elizabeth Kenny,Medicine,True,White,False,Female,Rosalind Russell,72
Sixty Six,http://www.imdb.com/title/tt0493450/,UK,2006,0.225,Paul Weiland,1,Paul Weiland,Other,False,,False,Male,Gregg Sulkin,12
Skin,http://www.imdb.com/title/tt0964586/,UK,2008,0,Anthony Fabian,1,Sandra Laing,Other,True,African,True,Female,Sophie Okonedo,10
Somebody Up There Likes Me,http://www.imdb.com/title/tt0049778/,US,1956,0,Robert Wise,1,Rocky Graziano,Athlete,True,White,False,Male,Paul Newman,62
Son of God,http://www.imdb.com/title/tt3210686/,US,2014,59.7,Christopher Spencer,1,Jesus,Historical,True,Middle Eastern (White),False,Male,Diogo Morgado,4
Soul Surfer,http://www.imdb.com/title/tt1596346/,US,2011,43.9,Sean McNamara,1,Bethany Hamilton,Athlete,False,,False,Female,AnnaSophia Robb,7
Spartacus,http://www.imdb.com/title/tt0054331/,US,1960,0,Stanley Kubrick,1,Spartacus,Historical,False,,False,Male,Kirk Douglas,58
Spitfire,http://www.imdb.com/title/tt0034734/,UK,1942,0,Leslie Howard,1,R. J. Mitchell,Military,True,White,False,Male,Leslie Howard,76
Squanto: A Warrior's Tale,http://www.imdb.com/title/tt0111271/,US,1994,3.34,Xavier Koller,1,Squanto,Historical,True,Native American,True,Male,Adam Beach,24
Stander,http://www.imdb.com/title/tt0326208/,Canada/UK,2003,0.019100000000000002,Bronwen Hughes,1,Andre Stander,Other,True,White,False,Male,Thomas Jane,15
Star 80,http://www.imdb.com/title/tt0086355/,US,1983,6.5,Bob Fosse,1,Dorothy Stratten,Actress,True,White,False,Female,Mariel Hemingway,35
Star!,http://www.imdb.com/title/tt0063642/,US,1968,4.0,Robert Wise,1,Gertrude Lawrence,Actress,True,White,False,Female,Julie Andrews,50
Stars and Stripes Forever,http://www.imdb.com/title/tt0045187/,US,1952,0,Henry Koster,1,John Philip Sousa,Musician,True,White,False,Male,Clifton Webb,66
Steal This Movie,http://www.imdb.com/title/tt0161216/,US,2000,0.0761,Robert Greenwald,1,Abbie Hoffman,Activist,True,White,False,Male,Vincent D'Onofrio,18
Stealing Sinatra,http://www.imdb.com/title/tt0311863/,US,2003,0,Ron Underwood,2,Barry Keenan,Criminal,False,,False,Male,David Arquette,15
Stealing Sinatra,http://www.imdb.com/title/tt0311863/,US,2003,0,Ron Underwood,2,"Frank Sinatra, Jr.",Other,True,White,False,Male,Thomas Ian Nicholas,15
Stoned,http://www.imdb.com/title/tt0426627/,UK,2005,0,Stephen Woolley,1,Brian Jones,Musician,True,White,False,Male,Leo Gregory,13
Story of G.I. Joe,http://www.imdb.com/title/tt0038120/,US,1945,0,William A. Wellman,1,Ernie Pyle,Media,False,,False,Male,Burgess Meredith,73
Strauss' Great Waltz,http://www.imdb.com/title/tt0024747/,UK,1934,0,Alfred Hitchcock,2,Johann Strauss I,Musician,True,White,False,Male,Edmund Gwenn,84
