title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress,years_since_released
Barabbas,http://www.imdb.com/title/tt0055774/,US,1961,0,Richard Fleischer,1,Barabbas,Historical,True,White,False,Male,Anthony Quinn,57
Basquiat,http://www.imdb.com/title/tt0115632/,US,1996,2.96,Julian Schnabel,1,Jean-Michel Basquiat,Artist,True,Multi racial,True,Male,Jeffrey Wright,22
Bathory: Countess of Blood,http://www.imdb.com/title/tt0469640/,UK,2008,0,Juraj Jakubisko,1,Elizabeth Bathory,Criminal,True,White,False,Female,Anna Friel,10
Battle Hymn,http://www.imdb.com/title/tt0050171/,US,1957,0,Douglas Sirk,1,Dean Hess,Military,False,,False,Male,Rock Hudson,61
Beau Brummell,http://www.imdb.com/title/tt0046759/,US,1954,0,Curtis Bernhardt,1,George Brummell,Other,True,White,False,Male,Stewart Granger,64
Becket,http://www.imdb.com/title/tt0057877/,US/UK,1964,0,Peter Glenville,2,King Henry II,Historical,True,White,False,Male,Peter O'Toole,54
Becket,http://www.imdb.com/title/tt0057877/,US/UK,1964,0,Peter Glenville,2,Thomas Becket,Historical,True,White,False,Male,,54
Becoming Jane,http://www.imdb.com/title/tt0416508/,UK,2007,18.7,Julian Jarrold,1,Jane Austen,Author,True,White,False,Female,Anne Hathaway,11
Before Night Falls,http://www.imdb.com/title/tt0247196/,US,2000,4.22,Julian Schnabel,1,Reinaldo Arenas,Activist,True,Hispanic (Latin American),True,Male,Javier Bardem,18
Behind the Lines,http://www.imdb.com/title/tt0120001/,Canada/UK,1997,0.0193,Gillies MacKinnon,1,Siegfried Loraine Sassoon,Military,True,Multi racial,False,Male,James Wilby,21
Bernard and Doris,http://www.imdb.com/title/tt0470732/,US,2006,0,Bob Balaban,2,Bernard Lafferty,Other,True,White,False,Male,Ralph Fiennes,12
Bernard and Doris,http://www.imdb.com/title/tt0470732/,US/UK,2006,0,Bob Balaban,2,Doris Duke,Other,True,White,False,Female,Susan Sarandon,12
Best,http://www.imdb.com/title/tt0181311/,UK,2000,0,Mary McGuckian,1,George Best,Athlete,True,White,False,Male,John Lynch,18
Beyond the Law,http://www.imdb.com/title/tt0103805/,US,1993,0,Larry Ferguson,1,Dan Black,Other,False,,False,Male,Charlie Sheen,25
Beyond the Sea,http://www.imdb.com/title/tt0363473/,US/UK,2004,6.14,Kevin Spacey,1,Bobby Darin,Musician,True,White,False,Male,Kevin Spacey,14
Big Eyes,http://www.imdb.com/title/tt1126590/,US/Canada,2014,14.5,Tim Burton,1,Margaret Keane,Artist,True,White,False,Female,Amy Adams,4
Billy the Kid,http://www.imdb.com/title/tt0033389/,US,1941,0,David Miller,1,Henry McCarty (Billy the Kid),Criminal,True,White,False,Male,Robert Taylor,77
Bird,http://www.imdb.com/title/tt0094747/,US,1988,2.18,Clint Eastwood,1,"Charlie ""Bird"" Parker",Musician,True,Multi racial,True,Male,Forest Whitaker,30
Birdman of Alcatraz,http://www.imdb.com/title/tt0055798/,US,1962,0,John Frankenheimer,1,Robert Franklin Stroud,Criminal,False,,False,Male,Burt Lancaster,56
Blaze,http://www.imdb.com/title/tt0096943/,US,1989,19.1,Ron Shelton,1,Earl Long,Politician,True,White,False,Male,Paul Newman,29
Bloodsport,http://www.imdb.com/title/tt0092675/,US,1988,11.8,Newt Arnold,1,Frank Dux,Athlete,False,,False,Male,Jean-Claude Van Damme,30
Blossoms in the Dust,http://www.imdb.com/title/tt0033407/,US,1941,0,Mervyn LeRoy,1,Edna Gladney,Other,False,,False,Female,Greer Garson,77
Blow,http://www.imdb.com/title/tt0221027/,US,2001,52.9,Ted Demme,1,George Jung,Criminal,True,White,False,Male,Johnny Depp,17
Blue,http://www.imdb.com/title/tt0106438/,UK,1993,1.72,Derek Jarman,1,Derek Jarman,Other,False,,False,Male,Derek Jarman,25
Blue Caprice,http://www.imdb.com/title/tt2027064/,US,2013,0.0867,Alexandre Moors,1,John Allen Muhammad,Criminal,True,African American,True,Male,Isaiah Washington,5
Bobby Jones: Stroke of Genius,http://www.imdb.com/title/tt0375104/,US,2004,2.69,Rowdy Herrington,1,Bobby Jones,Athlete,False,,False,Male,Jim Caviezel,14
Bonnie and Clyde,http://www.imdb.com/title/tt0061418/,US,1967,0,Arthur Penn,2,Clyde Barrow,Criminal,False,,False,Male,Warren Beatty,51
Bonnie and Clyde,http://www.imdb.com/title/tt0061418/,US,1967,0,Arthur Penn,2,Bonnie Parker,Criminal,False,,False,Female,Faye Dunaway,51
Born on the Fourth of July,http://www.imdb.com/title/tt0096969/,US,1989,70.0,Oliver Stone,1,Ron Kovic,Military / activist,False,,False,Male,Tom Cruise,29
Bound for Glory,http://www.imdb.com/title/tt0074235/,US,1976,0,Hal Ashby,1,Woody Guthrie,Singer,True,White,False,Male,David Carradine,42
Boys Don't Cry,http://www.imdb.com/title/tt0171804/,US,1999,11.5,Kimberly Peirce,1,Brandon Teena,Other,False,,False,Male,Hilary Swank,19
Boys Town,http://www.imdb.com/title/tt0029942/,US,1938,0,Norman Taurog,1,Father Edward Flanagan,Other,True,White,False,Male,Spencer Tracy,80
Braveheart,http://www.imdb.com/title/tt0112573/,US,1995,75.6,Mel Gibson,1,William Wallace,Military,True,White,False,Male,Mel Gibson,23
Breach,http://www.imdb.com/title/tt0401997/,US,2007,33.0,Billy Ray,1,Robert Hanssen,Criminal,True,White,False,Male,Chris Cooper,11
Brigham Young,http://www.imdb.com/title/tt0032281/,US,1940,0,Henry Hathaway,1,Brigham Young,Other,True,White,False,Male,Dean Jagger,78
Bright Star,http://www.imdb.com/title/tt0810784/,UK,2009,4.44,Jane Campion,2,John Keats,Author (poet),True,White,False,Male,Ben Whishaw,9
Bright Star,http://www.imdb.com/title/tt0810784/,UK,2009,4.44,Jane Campion,2,Fanny Brawne,Other,False,,False,Female,Abbie Cornish,9
Bronson,http://www.imdb.com/title/tt1172570/,UK,2008,0.105,Nicolas Winding Refn,1,Charles Bronson,Criminal,False,,False,Male,Tom Hardy,10
"Brother Sun, Sister Moon",http://www.imdb.com/title/tt0069824/,UK,1972,0,Franco Zeffirelli,1,St. Francis of Assisi,Historical,True,White,False,Male,Graham Faulkner,46
Bubble Boy,http://www.imdb.com/title/tt0258470/,US,2001,5.0,Blair Hayes,1,David Vetter,Medicine,False,,False,Male,Jake Gyllenhaal,17
Buffalo Bill,http://www.imdb.com/title/tt0036677/,US,1944,0,William A. Wellman,1,William Cody,Other,True,White,False,Male,Joel McCrea,74
Bugsy,http://www.imdb.com/title/tt0101516/,US,1991,49.1,Barry Levinson,1,Ben 'Bugsy' Siegel,Criminal,True,White,False,Male,Warren Beatty,27
Burning Blue,http://www.imdb.com/title/tt1811307/,US,2013,0,"D.M.W. Greer With: Trent Ford, Tammy Blanchard, Morgan Spector",1,DMW Greer,Military,False,,False,Male,Trent Ford,5
Buster,http://www.imdb.com/title/tt0094819/,UK,1988,0.54,David Green,1,Buster Edwards,Criminal,False,,False,Male,Phil Collins,30
Butch Cassidy and the Sundance Kid,http://www.imdb.com/title/tt0064115/,US,1969,102.0,George Roy Hill,2,Butch Cassidy (Robert Leroy Parker),Criminal,True,White,False,Male,Paul Newman,49
Butch Cassidy and the Sundance Kid,http://www.imdb.com/title/tt0064115/,US,1969,102.0,George Roy Hill,2,Harry Longabaugh,Criminal,True,White,False,Male,Robert Redford,49
Cadillac Records,http://www.imdb.com/title/tt1042877/,US,2008,8.13,Darnell Martin,3,Etta James,Singer,True,African American,True,Female,BeyoncÌ© Knowles,10
Cadillac Records,http://www.imdb.com/title/tt1042877/,US,2008,8.13,Darnell Martin,3,Muddy Water,Musician,True,African American,True,Male,Jeffrey Wright,10
Cadillac Records,http://www.imdb.com/title/tt1042877/,US,2008,8.13,Darnell Martin,3,Leonard Chess,Musician,True,White,False,Male,Adrien Brody,10
Caesar and Cleopatra,http://www.imdb.com/title/tt0038390/,UK,1945,0,Gabriel Pascal,2,Julius Caesar,Historical,True,White,False,Male,Claude Rains,73
Caesar and Cleopatra,http://www.imdb.com/title/tt0038390/,UK,1945,0,Gabriel Pascal,2,Cleopatra,Historical,True,Middle Eastern,True,Female,Vivien Leigh,73
Callas Forever,http://www.imdb.com/title/tt0274407/,UK,2002,0.446,Franco Zeffirelli,1,Maria Callas,Singer,True,Mediterranean,False,Female,Fanny Ardant,16
Cannibal! The Musical,http://www.imdb.com/title/tt0115819/,US,1993,0,Trey Parker,1,Alferd Packer,Criminal,False,,False,Male,Trey Parker,25
Capone,http://www.imdb.com/title/tt0072761/,US,1975,0,Steve Carver,1,Al Capone,Criminal,True,White,False,Male,Ben Gazzara,43
Capote,http://www.imdb.com/title/tt0379725/,US/Canada,2005,28.7,Bennett Miller,1,Truman Capote,Author,False,,False,Male,Philip Seymour Hoffman,13
Captain Kidd,http://www.imdb.com/title/tt0037576/,US,1945,0,Rowland V. Lee,1,William Kidd,Historical,True,White,False,Male,Charles Laughton,73
Captain Phillips,http://www.imdb.com/title/tt1535109/,US,2013,107.0,Paul Greengrass,1,Richard Phillips,Military,False,,False,Male,Tom Hanks,5
Caravaggio,http://www.imdb.com/title/tt0090798/,UK,1986,0.00315,Derek Jarman,1,Michelangelo Merisi de Caravaggio,Artist,True,White,False,Male,Multiple,32
Carbine Williams,http://www.imdb.com/title/tt0044480/,US,1952,0,Richard Thorpe,1,David Marshall Williams,Other,False,,False,Male,James Stewart,66
Carrington,http://www.imdb.com/title/tt0112637/,UK,1995,3.24,Christopher Hampton,2,Lytton Strachey,Author,True,White,False,Male,Jonathan Pryce,23
Carrington,http://www.imdb.com/title/tt0112637/,UK,1995,3.24,Christopher Hampton,2,Dora Carrington,Artist,True,White,False,Female,Emma Thompson,23
Carve Her Name with Pride,http://www.imdb.com/title/tt0051454/,UK,1958,0,Lewis Gilbert,1,Violette Bushell Szabo,Military,True,White,False,Female,Virginia McKenna,60
Casino,http://www.imdb.com/title/tt0112641/,US,1995,42.4,Martin Scorsese,1,"Frank ""Lefty"" Rosenthal",Criminal,False,,False,Male,Robert De Niro,23
Casino Jack,http://www.imdb.com/title/tt1194417/,Canada,2010,1.04,George Hickenlooper,1,Jack Abramoff,Other,False,,False,Male,Kevin Spacey,8
Cass,http://www.imdb.com/title/tt0954981/,UK,2008,0,Jon S. Baird,1,Cass Pennant,Other,True,Caribbean,True,Male,Nonso Anozie,10
Catch a Fire,http://www.imdb.com/title/tt0437232/,US/UK,2006,4.29,Phillip Noyce,1,Patrick Chamusso,Activist,True,African,True,Male,Derek Luke,12
Catch Me If You Can,http://www.imdb.com/title/tt0264464/,US/Canada,2002,164.0,Steven Spielberg,1,Frank Abagnale Jr.,Criminal,False,,False,Male,Leonardo DiCaprio,16
Cesar Chavez,http://www.imdb.com/title/tt1621046/,US,2014,5.55,Diego Luna,1,Cesar Chavez,Activist,True,Hispanic (Latino),True,Male,Michael PeÌ±a,4
Chaplin,http://www.imdb.com/title/tt0103939/,US,1992,9.49,Richard Attenborough,1,Charles Spencer Chaplin,Comedian,True,White,False,Male,Robert Downey Jr.,26
Charlie Wilson's War,http://www.imdb.com/title/tt0472062/,US,2007,66.6,Mike Nichols,1,Charlie Wilson,Military,False,,False,Male,Tom Hanks,11
Chasing Mavericks,http://www.imdb.com/title/tt1629757/,US,2012,6.0,"Michael Apted, Curtis Hanson",1,Jay Moriarity,Athlete,False,,False,Male,Jonny Weston,6
Chattahoochee,http://www.imdb.com/title/tt0099242/,US,1989,0.259,Mick Jackson,1,Emmett Foley,Military,False,,False,Male,Gary Oldman,29
Che: Part One,http://www.imdb.com/title/tt0892255/,US,2008,1.73,Steven Soderbergh,1,Che Guevara,Activist,True,Hispanic (Latin American),False,Male,Benicio Del Toro,10
Che: Part Two,http://www.imdb.com/title/tt0374569/,US,2008,0,Steven Soderbergh,1,Che Guevara,Activist,True,Hispanic (Latin American),False,Male,DemiÌÁn Bichir,10
Che!,http://www.imdb.com/title/tt0064158/,US,1969,2.0,Richard Fleischer,1,Che Guevara,Activist,True,Hispanic (Latin American),False,Male,Omar Sharif,49
Chisum,http://www.imdb.com/title/tt0065547/,US,1970,6.0,Andrew V. McLaglen,1,John Chisum,Other,False,,False,Male,John Wayne,48
Christopher Columbus: The Discovery,http://www.imdb.com/title/tt0103962/,US/UK,1992,8.25,John Glen,1,Christopher Columbus,Other,True,White,False,Male,Georges Corraface,26
Ciao Manhattan,http://www.imdb.com/title/tt0068379/,US,1972,0,"John Palmer, David Weisman",1,Edie Sedgwick,Actress,True,White,False,Female,Edie Sedgwick,46
Cinderella Man,http://www.imdb.com/title/tt0352248/,US,2005,61.6,Ron Howard,1,James Braddock,Athlete,True,White,False,Male,Russell Crowe,13
Cleopatra,http://www.imdb.com/title/tt0024991/,US,1934,0,Cecil B. DeMille,1,Cleopatra,Historical,True,Middle Eastern,True,Female,Claudette Colbert,84
Cleopatra,http://www.imdb.com/title/tt0056937/,US/UK,1963,57.8,Joseph L. Mankiewicz,1,Cleopatra,Historical,True,Middle Eastern,True,Female,Elizabeth Taylor,55
Coal Miner's Daughter,http://www.imdb.com/title/tt0080549/,US,1980,79.9,Michael Apted,1,Loretta Lynn,Singer,True,Multi racial,True,Female,Sissy Spacek,38
Cobb,http://www.imdb.com/title/tt0109450/,US,1994,1.01,Ron Shelton,1,Ty Cobb,Athlete,True,White,False,Male,Tommy Lee Jones,24
Communion,http://www.imdb.com/title/tt0097100/,US/UK,1989,1.92,Philippe Mora,1,Whitley Strieber,Other,False,,False,Male,Christopher Walken,29
Compulsion,http://www.imdb.com/title/tt0052700/,US,1959,0,Richard Fleischer,2,Nathan Leopold Jr.,Criminal,True,White,False,Male,Dean Stockwell/Bradford Dillman,59
Compulsion,http://www.imdb.com/title/tt0052700/,US,1959,0,Richard Fleischer,2,Richard Loeb,Criminal,True,White,False,Male,Dean Stockwell/Bradford Dillman,59
Confessions of a Dangerous Mind,http://www.imdb.com/title/tt0270288/,US/Canada,2002,0,George Clooney,1,Chuck Barris,Actor,False,,False,Male,Sam Rockwell,16
Control,http://www.imdb.com/title/tt0421082/,US/UK,2007,0.872,Anton Corbijn,1,Ian Curtis,Musician,False,,False,Male,Sam Riley,11
Conviction,http://www.imdb.com/title/tt1244754/,US,2010,6.78,Tony Goldwyn,1,Betty Anne Waters,Other,False,,False,Female,Hilary Swank,8
Copying Beethoven,http://www.imdb.com/title/tt0424908/,US,2006,0.353,Agnieszka Holland,1,Ludwig van Beethoven,Musician,True,White,False,Male,Ed Harris,12
